,MSOA_CODE,hotspot_binary
520,E02000134,0
521,E02000429,0
522,E02000565,1
523,E02000614,0
524,E02000099,0
525,E02000460,0
526,E02000511,0
527,E02000486,0
528,E02000389,0
529,E02000708,0
530,E02000834,0
531,E02000971,1
532,E02000255,0
533,E02000483,0
534,E02000545,0
535,E02000214,0
536,E02000929,0
537,E02000571,1
538,E02000533,0
539,E02000694,0
540,E02000599,0
541,E02000362,1
542,E02000363,1
543,E02000674,0
544,E02000423,0
545,E02000081,0
546,E02000983,1
547,E02000087,0
548,E02000715,0
549,E02000838,0
550,E02000519,0
551,E02000641,0
552,E02000956,0
553,E02000356,0
554,E02000976,1
555,E02000305,0
556,E02000523,0
557,E02000156,0
558,E02000339,0
559,E02000124,0
560,E02000919,0
561,E02000580,1
562,E02000391,0
563,E02000430,0
564,E02000561,0
565,E02000534,0
566,E02000361,1
567,E02000046,0
568,E02000042,0
569,E02000016,0
570,E02000973,1
571,E02000654,1
572,E02000063,0
573,E02000084,0
574,E02000920,0
575,E02000871,1
576,E02000326,0
577,E02000059,0
578,E02000853,0
579,E02000360,1
580,E02000441,0
581,E02000832,0
582,E02000314,0
583,E02000131,0
584,E02000820,0
585,E02000011,0
586,E02000237,0
587,E02000783,0
588,E02000895,0
589,E02000444,0
590,E02000365,1
591,E02000004,0
592,E02000645,0
593,E02000548,0
594,E02000341,0
595,E02000581,1
596,E02000459,0
597,E02000890,1
598,E02000607,0
599,E02000238,0
600,E02000915,0
601,E02000335,0
602,E02000776,0
603,E02000678,0
604,E02000963,0
605,E02000175,0
606,E02000145,0
607,E02000558,0
608,E02000390,0
609,E02000696,0
610,E02000146,0
611,E02000102,0
612,E02000353,0
613,E02000879,1
614,E02000194,1
615,E02000578,1
616,E02000969,1
617,E02000385,0
618,E02000019,0
619,E02000085,0
620,E02000718,0
621,E02000100,0
622,E02000933,0
623,E02000577,0
624,E02000097,0
625,E02000008,0
626,E02000860,0
627,E02000395,0
628,E02006800,0
629,E02000757,0
630,E02000186,1
631,E02000936,0
632,E02000304,0
633,E02000547,0
634,E02000461,0
635,E02000706,0
636,E02000655,0
637,E02000154,0
638,E02000764,0
639,E02000540,0
640,E02000677,0
641,E02000116,0
642,E02000020,0
643,E02000018,0
644,E02000425,0
645,E02000074,0
646,E02000411,0
647,E02000364,1
648,E02000137,0
649,E02000287,0
650,E02000779,0
651,E02000374,0
652,E02000865,1
653,E02000517,0
654,E02000979,1
655,E02000489,0
656,E02000029,0
657,E02000584,1
658,E02000782,0
659,E02000228,0
660,E02000182,1
661,E02000675,0
662,E02000850,0
663,E02000928,0
664,E02000959,0
665,E02000064,0
666,E02000382,0
667,E02000814,0
668,E02000352,1
669,E02000839,0
670,E02000227,0
671,E02000574,1
672,E02000195,0
673,E02000893,1
674,E02000481,0
675,E02000211,0
676,E02000661,0
677,E02000231,0
678,E02000181,0
679,E02000873,1
680,E02000978,1
681,E02000550,0
682,E02000967,1
683,E02000439,0
684,E02000123,0
685,E02000922,0
686,E02000777,0
687,E02000193,1
688,E02000050,0
689,E02000610,0
690,E02000856,0
691,E02000731,0
692,E02000174,1
693,E02000709,0
694,E02000230,0
695,E02000497,0
696,E02000203,0
697,E02000790,0
698,E02000903,0
699,E02000714,0
700,E02000669,0
701,E02000623,0
702,E02006925,0
703,E02000805,0
704,E02000152,0
705,E02000110,0
706,E02000722,0
707,E02000268,0
708,E02000470,0
709,E02000647,0
710,E02000977,1
711,E02000158,0
712,E02000291,0
713,E02000682,0
714,E02000713,0
715,E02000027,0
716,E02000898,0
717,E02000112,0
718,E02000851,0
719,E02000388,1
720,E02000530,0
721,E02000594,1
722,E02000223,0
723,E02000474,0
724,E02000213,0
725,E02000036,0
726,E02000745,0
727,E02000823,1
728,E02000740,0
729,E02000055,0
730,E02000739,0
731,E02000826,1
732,E02000686,0
733,E02000702,0
734,E02000732,0
735,E02000901,0
736,E02000927,0
737,E02000080,0
738,E02000155,0
739,E02000666,0
740,E02000089,0
741,E02000294,0
742,E02000386,0
743,E02000242,0
744,E02006789,0
745,E02000556,0
746,E02000346,0
747,E02000687,0
748,E02000937,0
749,E02000905,0
750,E02000636,0
751,E02000747,1
752,E02000253,0
753,E02000135,0
754,E02000849,0
755,E02000166,1
756,E02000428,0
757,E02000290,0
758,E02000315,0
759,E02000626,1
760,E02000504,0
761,E02000961,1
762,E02000265,0
763,E02000373,0
764,E02000691,0
765,E02000695,0
766,E02000799,0
767,E02000456,0
768,E02000180,1
769,E02000628,1
770,E02000640,0
771,E02000633,1
772,E02000595,1
773,E02000082,0
774,E02000830,1
775,E02000704,0
776,E02000601,0
777,E02000499,0
778,E02000758,0
779,E02000520,0
780,E02000448,0
781,E02000324,0
782,E02000318,0
783,E02006782,0
784,E02000562,0
785,E02000752,0
786,E02000279,0
787,E02000142,0
788,E02000723,0
789,E02000861,0
790,E02000743,1
791,E02000829,0
792,E02000212,0
793,E02000763,0
794,E02000375,1
795,E02006793,0
796,E02000878,1
797,E02000573,1
798,E02000613,0
799,E02006931,1
800,E02000627,0
801,E02000392,0
802,E02000248,0
803,E02000060,0
804,E02000615,0
805,E02000010,0
806,E02000354,0
807,E02000464,0
808,E02006787,0
809,E02000603,0
810,E02000509,0
811,E02000096,0
812,E02000083,0
813,E02000017,0
814,E02000359,0
815,E02000433,0
816,E02000157,0
817,E02000735,0
818,E02000148,0
819,E02000738,0
820,E02000151,0
821,E02000263,0
822,E02000200,0
823,E02000538,0
824,E02000622,1
825,E02000710,0
826,E02000680,0
827,E02000422,0
828,E02000923,1
829,E02000619,1
830,E02000095,0
831,E02000582,1
832,E02000241,0
833,E02000045,0
834,E02000770,0
835,E02000881,1
836,E02000168,1
837,E02000034,0
838,E02000844,0
839,E02000402,0
840,E02000657,0
841,E02000935,0
842,E02000321,0
843,E02000111,0
844,E02000821,0
845,E02000118,0
846,E02000176,1
847,E02000172,1
848,E02000632,0
849,E02000796,0
850,E02000699,0
851,E02000643,0
852,E02000232,0
853,E02000378,0
854,E02000549,0
855,E02000264,0
856,E02000075,0
857,E02000071,0
858,E02000114,0
859,E02000078,0
860,E02000880,1
861,E02000847,0
862,E02000554,1
863,E02000028,0
864,E02000128,0
865,E02000784,0
866,E02000196,0
867,E02000726,1
868,E02000588,1
869,E02000906,0
870,E02000033,0
871,E02000407,0
872,E02000668,0
873,E02000765,0
874,E02000568,0
875,E02000754,0
876,E02000557,1
877,E02000039,0
878,E02006786,0
879,E02000617,0
880,E02000073,0
881,E02000616,0
882,E02000477,0
883,E02000786,0
884,E02000400,0
885,E02000401,0
886,E02000222,0
887,E02000258,0
888,E02000127,0
889,E02000874,0
890,E02000447,0
891,E02000609,0
892,E02000160,0
893,E02000535,0
894,E02000007,0
895,E02000789,0
896,E02000795,0
897,E02000038,0
898,E02000835,0
899,E02000376,0
900,E02000427,0
901,E02000090,0
902,E02000224,0
903,E02000591,1
904,E02000344,0
905,E02000921,0
906,E02000824,0
907,E02000484,0
908,E02000772,0
909,E02000165,0
910,E02000812,1
911,E02000455,0
912,E02000306,0
913,E02000272,0
914,E02000191,1
915,E02000434,0
916,E02000649,0
917,E02000009,0
918,E02000543,0
919,E02000216,0
920,E02000302,0
921,E02000768,0
922,E02000553,0
923,E02000371,1
924,E02000234,0
925,E02000926,1
926,E02000513,0
927,E02000286,0
928,E02000015,0
929,E02000975,1
930,E02000524,0
931,E02000590,1
932,E02000409,0
933,E02000672,0
934,E02000605,0
935,E02006802,1
936,E02000493,0
937,E02000435,0
938,E02000139,0
939,E02000323,0
940,E02000496,0
941,E02006788,0
942,E02000736,0
943,E02000414,0
944,E02000846,0
945,E02000358,1
946,E02000930,0
947,E02000457,0
948,E02006836,0
949,E02000925,1
950,E02000225,0
951,E02000103,0
952,E02000201,0
953,E02000235,0
954,E02000868,1
955,E02000023,0
956,E02000101,0
957,E02000742,0
958,E02000909,0
959,E02000681,0
960,E02000692,0
961,E02000980,1
962,E02000653,0
963,E02000393,0
964,E02000345,0
965,E02000756,0
966,E02000207,0
967,E02000809,1
968,E02000398,0
969,E02000734,0
970,E02000031,0
971,E02000968,1
972,E02000471,0
973,E02000629,0
974,E02000058,0
975,E02000437,0
976,E02000875,1
977,E02000918,0
978,E02000312,0
979,E02000332,0
980,E02000721,0
981,E02000396,0
982,E02006928,1
